,This is the best documentary Ad for a jacket i've ever watched! GG to the climbers and sherpas!
Awaken My River,"I've never been overcome with emotion at this before, but wow, this invoked tears.  The respect that this team has for that mountain and each other was returned with the gift of their experience. A beautiful thing."
peter gregory,"Top of the World Ma! Top of the World.
Remember reading years ago of Aleister Crowley's attempt on K2. About 1902 was it?
Imagine the sort of gear he and his friends would have had! They didn't make it of course.
Magnificent job guys. Well done."
Peter Lewis,"That was an amazing video, i could have watched it for ever."
Matt Ducey,"Best mountaineering (alpinist) doc/film I've seen. Brought me there, without all the work, haha! Well done, all!"
Travis Pertson,"Where thereâ€™s a will, thereâ€™s a way... âœ¨ğŸ”âœ¨"
Olivia Lambert,"""Climbing without supplemental oxygen"" means ""climbing with three porters who use oxygen""  in this case.
Meanwhile, legends like Hermann Buhl climbed Nanga Parbat solo without oxygen."
Adrien Pinard,"The impossible college aetiologically scorch because neon routinely collect onto a poised whorl. joyous, equable prepared"
NerdyNano,Truly inspiring ğŸ˜Š thank you for such a wonderful story !!
Sam Grima,K2 pride of Pakistan ğŸ‡µğŸ‡°
Miyoung Jung,I am crying now after you mention about feeling on the top of K2 what I like . Thank you very much let me watching your journey.
Mads Jensen,Truly amazing climbing.. Watching this gave me goosebumps all over
Da dare king Is home,Whoâ€™s here after watching the guy ski down it
tass ono,"Namaste Palden Dai and Namgyal Dai, even though you got 0 credits from this documentary , we know you were the backbone behind this expedition. Om mane padme hum . Jai Nepal."
leratluci,Today I will reach the summit of my couch
oSo_KewL WIT_IT,"A true climber would have wore a tank top, daisy dukes and flip flops.  All bs aside.  I couldnâ€™t do this.  Much respect."
Aamir Abbasi,A great documentary. Hats off to all of these courageous people.
Blue Daily Elephant Care Sanctuary,"So risk adventure, but very breathtaking trek."
Mir Shabir,"I'm curious of climbing k2, hope I get a chance in future...hooooo"
Ron George,To me the sherpas are Legends period .
Michael Noble,The blood on the summit shots :O
NotJoe Biden,Thanks for taking pictures...now i don't need to go..LOL
Kamal DHUNGANA,The most significant guides: the Sherpas from Nepal are almost for shaded from camera intentionally and not even mentioned at the end... Oh.. Big Bosses...
cs chaka,BREATHTAKING !!
Gary Kramer,"This was an amazing documentary. It was also an amazing feat to do this without oxygen. Iâ€™m just disappointed there was no mention of Nimsdai and his team being an integral part of the summit push. I remember seeing him post about clearing the way past the bottleneck. It absolutely would not have taken anything away from the amazing feat that the Eddie Bauer team accomplished. It just wouldâ€™ve been a bit more honest to include appreciation for how they helped. Adrian even mentioned that on an Instagram post during the expedition. Still though, congrats on doing something so amazing and capturing it so well."
Ahsan Choudry,Just breathtaking!
N8FALKE1,"Try Kukuczka's ""Polish Line""."
blex,"i cant breathe
scnr"
Raymond Lopez,"Wow Congratulations to Adrian, Karla and Toopo."
The Dark Destroyer,"The true dreamers are the men and women who still remain on K2.
Indeed they were dreamers who lived for the moment and did not regret anything in life.
RIP.ğŸ™."
Ninnie Holmgren,The man of my dreams. In every way ğŸ¤©
Jon Posadny,i wish i had the money just to get to base camp once in my life.
Andrew Dale,"This was really cool. Props to all involved. Love the quote at the end: ""Adrian and Carla do not have any plans to climb K2 again."""
nasdoc1,Amazing! You have to be a superhuman to climb the K2. Breathtaking scenes. What a video. Congratulations!
Travel With Strangers,"This is actual life time achievement for human beings, atleast for me it is. ."
Chance Tushir,Try Kailash next ğŸ˜‚
Carlo Carugati,Y O U are breathtaking
joe maxie,truly awesome achievement....athlete's of the highest caliber... congrats to all of you....a testament to the human spirit....pre happy anniversary....well done...and thank you for giving us mere mortals a glimpse of the beauty of the mountains....Namaste
Linda Manzione Young,"I was in tears because of you, Adrian and Carla, and your team's  success in reaching the summit. You all were SMART in putting safety above success. I was so happy to see the weather cooperating also. God was definitely with you on this trip. Thank you for sharing this beautiful video. â¤"
Joel Crow,What if I have trouble being in a Costco cooler for longer than 5 mins tops....
Ryan Gall,"so much more than an ad though. I used to work for Eddie Bauer and their expeditions are literally the soul of the business, which I always thought was cool while working there. I hope I can climb some of these crazy mountains one day."
Trinitatis Sanctorvm,Pemba what a legend.
BrunoKris Georgeton,Beautiful photography! Great human endurance! Well done!
Vinnie Menon,Not even into climbing but this was a great watch!
The Stone,"Itâ€™s 2:11am idk how I get here?! I was watching cameravids and stuff xD
Idk how I came but I donâ€™t regret beeing here."
John MacKenzie,Brilliant And great camera work
Mik Limbu,"Lets be honest here, no Sherpa no summit. They practically babysit the ""climbers"". While westerners take all the glory, Himalayan people take it as all in a day's work. No offense."
M A D A R A,I would stay at summit for the rest of my life.
timi gaule,Nepalese guides(pun and sherpas) are great and supported the climbers all the way to the top.
Pier Wobbler,Beautiful documentary and awesome climbing!!
dimitris veroutis,imagine   climbing this with 3 of your budies  knowing that one won't come back
Mr K,"im gonna climb it solo, no sherpa, no oxygen, carrying everything i need on my back. in the winter season so no one else is there!"
Basically? Legit!,"i wish more people would see and expirience this movie of ur journey and struggles with the ultimate goal that u Reatched!!"""
Justin Kerns,Once I made it down the mountain alive I would give each porter a thousand dollar bonus on top of pay.
Frank Brown,"Epic challenge and great, inspiring  documentary : congratulations!"
Chris,"Ever since I first heard about ""The Bottleneck"", I could only find descriptions. To actually see it helps me understand the fear it causes.

Incredible video. Huge respect to all involved."
Angus__YounG,Nimsdai and their team set a record climbing K2 in Winter  and climed 14 8000m+ in only 6 months and 6 days wow
Exploration Northwest,Everyone knows Annapurna is the deadliest Mt.
Alan McAllister,"Brilliant viewing, incredible resolve all round, seriously enjoyed watching this."
Tim Alexander,That's a pretty decent hyway ğŸ˜‰
HitorMiss,How difficult it was for them to poop up there..
Ron Davis,Camera crew are above absolutely amazing!
Purified State,thanks for taking me along!
Dan M.,Amazing !!! So well done. Thank you team for bringing us this fantastic adventure
Rachel,Why didnâ€™t they show them going down? Thatâ€™s usually the craziest part
Sanni Khoninov,Great shot ğŸ’«
PÃ˜Å¤Ä„Å¤Ã– Ã•Å…ÃÃ“Ã‘,"My village is next Nanga Parbat Mountain the second deadliest mountain after K2. Both mountains are in Gilgit Baltistan, Pakistan."
Cursed soul of tut,That's too steep . Real amazing job climbing that to the Sherpas and climbers .
Ehtisham Hussain,It's too much hard but you guys are real heros ğŸ’•
william walker,Absolutely incredible!!!!
2007zodiac,"i Came to Watch the Adventure,
i left to Google â€˜first-Ascentâ€™ jackets!..lol"
Ed Trent,"K2 is beautiful.
If I go there is only to admire it from base camp."
Robert Jensen,"I'm waiting for my 80th birthday, and then I'm going to finally start training to do this."
HAID3N Official,Thank god my passion is music...
Danny H,Awesome avalanche going UPHILL at 0:36!!!
Pammy Mehay-Hydes,Amazing. Shows the strength of the human spirit !
Venkata Nagakiran Eluri,Eddi Bauer Jackets are really Superb .. I love them
B,43:18 - Alright...who poo'd and didn't pack it out.
Kristen Maher,"Congratulations to you all ! This was the best footage, most enjoyable viewing of mountaineering i have had the pleasure of watching thanks to you all  . Wow. Just holy wow. Bravo ğŸ‘ğŸ‘ğŸ‘ğŸ‘ğŸ‘ kind regards and respect from Australia xo"
Jacob Ward,Amazing journey. Scariest adventure yet.
Pranjal Sharma,i cried so beautiful documentary
iamkeir,"Wonderful video, incredible achievement, congratulations ğŸ‰"
Max Bean,"Wow. What a great doc, thanks to all involved in making it x"
Zair,Need a similar documentary on the â€œkiller mountainâ€ NANGA PARBAT!!!
Karen McPeak,"Beautiful views, great job filming the climb."
Pcan Non167,Wow wow wow! I am so glad I bumped into this wonderful movie!
Patrick McGuire,Congrats.  I was loosing my breath just watching.
Retro grade,These dislikes are out of this world.
Kerstin. Jitschin,"watched some everest summit climbing,but itâ€™s my first K 2 and itâ€™s so well done, great pictures ,congratulations to the camera guys and ofcause first great job by the sherpas,they are the best and also to you climbers and trying without oxygen and i hope you will know when you have to stop if itâ€™s necessary.good luck for the strongest part climbing down. thanks so much.best wishes to the future"
Gaia Travels,"Amazing documentary! So cool to see the journey physically and emotionally 
Plus the views are indescribable
Glad I found this!"
Anil Saharan,This is simply great â¤
Gaurav Rana,Legendary climb brother... luv from India ğŸ‡®ğŸ‡³
hocheye,Always interested  in people who put themselves in this much danger to climb a mountain! The cost and logistics involved are crazy.The pics on this documentary are outstanding and it looks like the weather was fairly good and without oxygen! You are savage!
Shane Williams,"For western climbers its the ego, for Nepali climbers its a job"
MooN_MoNkEy888,Awesome videoğŸ‘but the  bit about more people going to outerspace thAn going up k2 had me rolling over laughing so much. ğŸ˜…ğŸ˜…ğŸ˜…ğŸ˜…ğŸ˜…
Cheesus,"Due to a genetic problem, my body naturally produces too many red blood cells. At rest, I have about the same values as an acclimated climber. This causes me some health problems, but if I wanted to go to K2 I could push for the summit from day oneğŸ˜‚"
Alexander Salz,"""the feeling of being there of walking the street of the future is reallly going to be breathtaking"" wait what xd"
bikinggal1,Surprised people aren't heli-ing in to base camp
Jenna Riseley,"the most difficult thing about watching this video, is not knowing whether he is american or south african"
Z 911,Crazy people. Lots of loveâ¤ï¸
Gauche Gaucho,You guys are real heroes!
Jim W.,"Stunning scenery... spectacular video... but, I gotta say,  you guys are crazy!"
Ornella Pasini,Eccezionale soprattutto in questo periodo che voi ritrovare te stesso
Svarog EUROPE Identity,"Climbing with good people who can say it's dangerous we go back, but we will try it again, you can only be successful!"
Shakeel Ahmed,Great video. Great effort. With due respect to you all. Reminds of Messner the greatest.
Lunox Ruby hanabi,Wow! Mt. Everest & K2 back to back ; that's an outstanding feat!
Shelby Butler,Absolutely incredible. Thanks for sharing this.
Doctor Basterfield,Most satisfying summit we ever did.  Annapurna was second.  Great team makes such a difference.
Andi Moraru,This is the best K2 climbing documentary ğŸ‘ ğŸ‘Œ ğŸ™Œ  Well done and keep on counting !!
Kisan B.k,Salut xa nepali teams lai
Sebastian Szczepaniak,"I haven't seen such a well documented climb in a long time. Of course, it's also due to the current technology Mallory, Herzog, Buhl, Hillary or Messner just didn't have a small GoPro or similar cameras at the time... The details of the mountain, with the steep slopes, the Seracs and the dimensions themselves are simply incredible! You feel like you are on the mountain yourself. "
Tim Anderson,"At first I thought dude, don't you have a job . But as I watched I really admired that dude and then the rest of them. I'm happy they made the K2."
Johnny Johnny,"No offense to anyone, but I'm glad I never got bit by the mountain climbing bug lol"
Tony Morisco,"Well done, I could feel their pain as if I was there. Have done difficult things in my life time but never anything approaching this climb, I respect the drive that each one of them had to accomplish K2. The porters deserve as much credit as the rest of the team, they were the foundation that the climb was built on.  Outstanding accomplishment!"
D Heath,Imagine the bad morning breaths in the tent
dzb,Sherpas should be treated like gods for all that they do and this is sometimes saving lives.
Birthe Knudsen,Beautiful..just beautiful...
marzi pana,What a great team! Well done!! Great job
Israel Y,I would love to hear the thoughts of the porters. Anyone know of an article or video that has an interview or something of the sort from a porter?
Laurent Martin,Only one word come to my mind : RESPECT ! And thanks a lot for these so nice and beautiful imagesâ˜ºï¸
Rogers,"Someone tell him that the top is 50% of the trip, now he must be able to descend, alive"
jo ho,A+mazing!!ğŸ‡¸ğŸ‡ª
lyhthegreat,43:!8 it's amazing how the flags would still flutter in the wind despite how cold it is up there..shouldn't they be frozen solid already?
bishop sparling,Finally someone agrees this mountain is the most dangerous completing this is insane but awesome
Nabeel Akbar,Excellent you guysğŸ˜... very emotional ğŸ¥º
Elberoth,"No Nims ? I'm an Adrian fan, I have been following him on social media for years, but discovering Nims was not even mentioned was a big disappointment for me. And I bet for many others."
inflivia,"Fantastic footage. Nice one, team!"
John Wang,41:30 - summit  -  beautiful view !
Stephen Burnage,I used to work with the first Pakistani to climb K2 (Daud Beg). He was quite the man.
Lexie,awesome documentary & such inspiration that u r capable of so many things if u really want to achieve it.
SpitefulAZ,so weird to see advertisements from the top of a huge mountain.
Theoretical Vibe Mikey Porter,amazing what people can achieve well done guys
John Smith,"8+ hours up to camp four? Iâ€™d be turning around after 15 minutes, max"
Gandalf 1536,Legend ğŸ”¥ğŸ”¥
jerk de snek,I wonder if they bring toothbrushes up there... his teeth are looking more untamed than the mountain
Gus Oliveira,Amazing and inspiring.
curtis_browning,"I always like to imagine a quaint little temple atop one of these majestic mountains, maybe even  a little air bender statue lol."
Knockda 8,Wow! Breathtaking -Amazing!
mariano sanchez,Sooo.. this was just a 45 minutes ad? well done!
Petrus,incredible
GG Cat & Bella Dog Antics,Glad those porters stood up for themselves.
Farrukh Gull,U were on the roof of the world. Like touching the SKY. Stunning view at Summit. Lots of love from Pakistan.
Martin Kaufmann,Very very impressive! I am touched. Stay save have fun!
Steven On The Road,"I would say, mountains in the alps(the much lower ones) are good enough for me, higher peaks are only for watching at home."
Felipe Gonzales,Congratulations!!! Amazing job!
Karma Police,Congratulations.. but it's funny how the Sherpas are always in the shadows when they are the pivot
Rix Gaming,Film ended on the summit. Makes you wonder what happened on the way down for them to not show any of it.
A G,"Cool! Looks just like Everest but Everest is obviously a bit harder since it's higher. I climbed Everest(YES, I'M ONE OF THE FEW :DDDDD) so I guess there's no point in climbing K2. Gonna be bored probably. lol."
Thorsden556,This activity takes a special and unique kind of insanity...also makes me realize how out of shape I am.
Bonnie & Dave Reardon,Congratulations on your achievements. #ASOM
á´€É´É´á´€,what Nimsdai and his team accomplished a few days ago overshadows this. #K2Winter
Mark Jessurun,"Nice climb Guys, i couldn't do it and with all Due Respect Congratulations to the Group !! Very Powerful and Spiritually Big !!"
Oo teri,Pakistan is heaven for mountaineers.ğŸ’•ğŸ’•
Krizanathan,The hardest part is to surpass the logistical drama and focus on the beauty.
chris luehr,I WOULNT EVEN BE ABLE TO HANDLE THEDRIVE UP THERE
Snook,Waiting for the next trend - climbing mountains without sherpas. IE NOT CHEATING
Dylan Laws,"You are at the very top of the world, where only a handful of humans have been and you miss the summit...who cares, you already did something mind blowing. It's a shame the word ""failure"" is even uttered."
Sam Grima,K2  (killer mountain ğŸ” ) pride of Pakistan ğŸ‡µğŸ‡° is also visible on Pakistan currency note.
shevasd,Congratulations to you and the sherpas for this extraordinary achievement! â¤ï¸
Zena Cheng,its really inspiring!!!!
luckyman,"Wow,wow  Impressive.  Congratulations !!!! 
I wish I can go one day ."
Joe McMurdo,Got a bit of  vertigo watching  this great doco thanks
Nigel S,Thank you for sharing such awesome adventure.
Peter Forster,Love it.  I love seeing these types of videos.  It is amazingly funny to see the Sherpa's smoking at altitude.
Brian Sam,"Eddie Bauer- If you're reading this, I want to say awesome achievement and all respect to you, I was wondering when you were at the top, were you able to see or get a glimpse of Nanga Parbat in the distance, I heard it can be seen from the top of K2!!!"
Hannah Hibbah,"I hardly made Snowdonia, ğŸ˜€
you are legends wondering in Death Valley, Emperor of mountains, K-2"
Keith Mc,Climbers risking the one and only life they are going to have for an ego trip is beyond my ken.
FactNews,Love from Nepal
Jennifer Walne,"Porters barely being paid 
*Tourist*: ğŸ˜ƒâœŒğŸ»"
Peter Sochor,"just beatifull, production and weather and people . . ."
Maria Anwar,So they don't have plan to summit K2 again!
A. Kim,Iâ€™m watching this while eating a family size of Doritos and wearing pajamas Iâ€™ve been wearing for three days now
Pennypack MTB,"So to get a free Eddie Bower jacket, all you have to do is climb K2. Who's in with me?"
DespizedICON,Great job Eddie!
peter soakel,"It's the same as any life threatening addiction, you know it's gonna kill you in the end, maybe and it is all about self. Epic."
spickie31,Rally great adventure and well done!
Dav- Atar,Wonderful job by all! Good to hear Ed's voice.Well done everyone Namasta!
Rabab Lovers,Great job you guys did what billions of people canâ€™t do...ğŸ‘ i wish i could do but im scared of cold weather
hangming zheng,"The strange anime multivariately interfere because fear peroperatively telephone aboard a joyous fat. scared, hanging wax"
JJ Mir,I hope there are not building a garbage mountain in this beauty same as Everest.
Mr Smith,"Congratulations!
Rather you than me. 
âœŒğŸ»ğŸ´ó §ó ¢ó ³ó £ó ´ó ¿"
Ernesto Giron,"Me: Thinking how much time I have been living in my comfort zone
The world is open out there"
T C,Incredible!
Rothgo,11:39-11:46 Impressive views!!
Yuseng Lee,"I agree to the fight. The award, which is getting for these hardships, it is exorbitantly large. It is the joy of life. - Jerzy Kukuczka

This is why we seek thrill and adventure with mother nature."
R. Lucas,Did he say he had â€˜The Bendsâ€™ as in decompression sickness? It sounds like heâ€™s describing a gastrointestinal issue.
Yohanan Arjoon,"These people talk big but,
Without Sherpas none of these people would ever have made it up Everest.
Sherpas make the trail and set the rope and carry their bags up and down the mountain. 
They should give Thanks to Sherpas first."
Scott Aldridge,Congratulations well-done!!
Bob Rogers,More people going to space kind of blew my mind
Nimish Karan,What if one of them want to go to loo on the summit.. just a thought.
Ruud Van der Waal,Wonderfull thank you for sharing this with me. Namaste
Doug Bourdo,"Incredible.  Amazing.  Yes, a HUGE Shout Out to ALL of the Sherpas and/or Porters."
Clayton Green,I want to do a climb like this! I've climbed a lot of small mountains but how do they get away from work and bills to go do something like this? Hats off to You All!!ğŸ’ªğŸ‘ğŸ˜Š
Edward Lobb,"My first Eddie Bauer was that Bush pilot's down vest in olive. In a  now more well known ski town, it stopped traffic. There were no down vests then and hardly any 4x4's either. Great expedition and film. Thank you Eddie Bauer. I survived several extreme skis with your original parka over the vest."
Bruno Mira,What an adventure!
Johnson David Official,"Amazing video dear - Loved it please also check ""Travel with Johnson David"
c_b_a,This is just brilliant. Who has set up thr ropes for them ?
kel,awesomeness!!
SweetDrummerNrOne,I love how the next recommended video is a guy skiing down this mountain casually staring by drinking a red bull bare handed and these guys are crying with joy just getting there..
Luqman Kiani,They say everest might be the bigger Mountain but K2 is by the far the harder and deadlier climb
Googl Reviews,"Sad part is, these people are turning this beautiful mountain into a dump."
Bhoot Nath,Without you coming because you are all the recovering in the path
Maria Gabriela LÃ³pez Herdoiza,Such an inspiration to me Carlita Perez! IÂ´ll love to climb with you someday :) :)
Andrew Marshall,"The husky eggplant informally trap because lemonade conventionally attack between a insidious pilot. stiff, sweet spruce"
YES YOU SEE,Wow. beautiful!!.
Bull Zye,Trying to climb K2 as your first 8000m mountain is like getting your driver's license at age 16 and immediately jumping into a Formula 1 car. I bet the guide services insist on payment upfront.
KRLE2582,"Thanks for Sharing .)
Peace"
Wolfes Mom,"I'm watching this as I have the AC on low...and I'm freezing with a heavy blanket covering me. I don't think I would make it being on the mountains, where it's legit freezing cold lol I would pass out day 1 on expedition."
David van Niekerk,Baie dank aan die Pakistanie draers. Thanks to the Pakistani Sherpas. Sehr danke Eddie Bauer fur diesem video. Merci beaucoup.
campbellj20,Loved it!!
Matt Stevenson,"Pemba has seen some shit man
Edit: 4.4m views, those tips should be hundreds of dollars. Sherpas are treated like crap overall, no matter how much respect some individual climbers show them"
John Schoeffling,"I enjoyed this very much, thanks for sharing."
Tenzin 2,Tibetan prayer flag on the summit.
Sugandhi Iyer,Great one. Kudos!!!!
Technical Updates,Hy dear. You are so oooxam. Thank comping to Pakistan. We love you
Arlen Margolin,One thing is a blessing and that is it sure a lot easier to say thank you Kate too then thank you Kilimanjaro
Monkey Mentality,I really enjoyed watching this
Ben C,"Dude had giardia. Iâ€™ve been there; sulfur burps/farts and constant liquid shitting after a few days vomiting. Itâ€™s horrible, lasts weeks  ğŸ˜‚"
Supernova,37:45 that is one scary sight from that angle!
Intrepid Explorer,"When I was twelve - at school - I became the first Englishman, whose middle name is Charles, under the height of 6 foot, with brown eyes and a side parting to hop all the way across our playground on one foot......

At what point does this self indulgent narcissism end?"
MultiLatency,Great video!
Phani Upadhyay,Incredible ğŸ‘ŒğŸ½
Arslan Waheed,Nice documentary. Respect from Pakistan.
Julio Roldan,Amazing! completely amazing!
Sahil Ali,One day I will climb K2 Ø§Ù†Ø´Ø§Ø¡Ø§Ù„Ù„Ù‡
Mercy Shaver,True adventuresâ¤ğŸ‘ŠğŸ¤™
Arlen Margolin,I always liked the way K2 built skis and supposedly the ski by the name of p r e were actually my favorite ski but I believe they were made by K2 and they were an expensive wood core ski totally responsive fast great and powder good to cruise but I never realized all those times I looked down and saw a K2 I never realized how much it really meant
vxenon67,Why do people climb mountains?  Because it's there.
Winston,Excellent teamwork
Faisal Shahid,"Welcome to Pakistan. You will find yourself at home amid these majestic mountains. It is where you will at once lose and find yourself. And once you reach the top, you will become an inseparable part of the land around you."
Cinematic Cut,Who filmed this? â˜ºï¸
Grace Gracels,Scared to watch this because Iâ€™ve just finished reading Freddie Wilkinsonâ€™s One Mountain Thousand Summits - The Untold Story of Tragedy and True Heroism on K2
Griu official,Great adventure
Lulu Dads,Congratulations !!! what alse....
T. Rose,"If I could pay thirty thousand to climb a mountain, I would tip my porters and guides thousands."
Hannah Hibbah,Well done guys.
Serkan 180cc,Respect very nice experience
Tina Reutin,Amazing is right. Thx for the trip of lifetime.
Phil M,Getting to the summit is just half way.  You gotta get down too without croaking.  And it ain't easy.  Hard enough for me on USA mountains.
MWan An,Congratulations dear. It's more than herculean task
gary rhodes,Rienhold Messner all i have to say
Arne Deschacht,Wonderfull piece of a documentary
Mike B,good stuff
Rad Rhat,"The melodic moat resultspreviously shave because zipper beverly print towards a wretched mountain. resonant, scientific washer"
Mudassir Rauf,K2 is the real pyramid of mountains.
The Luc1f3r,Looks ez the just go up and drink coffe at many camps :D
bijan film,Amazing film and story of resilience and courage
Taslim Hidjaz,"Amazing,thats my hobbies"
D Kapoor,Amazing!!
gillesnuytens,Great documentary! Congratulations to all of you and your hard work! But let's give a shout out to Ed who climbed all 14 peaks without supplemental oxygen meanwhile being such a humble person.
Ladakh Travelogue,I live in the Himalayas! âœŒï¸
i suck at guitar,"That's cool. I drove on part of that road back in 2001 from Mardan to Sost! Don't think I saw K2 but saw Nanga Parbat & Rakaposhi on my road trip with some local friends. Fab trip, beautiful views!!"
Linden Arden,Its my understanding that Eddie Bauer jackets and tents were used on this trip.
Warnings,Incredible documentary.
Aldrin Entiavlog,"Everest- i am the tallest and people died to conquer me 
K2- hold my Black Pyramid..."
R G,"K2 is the most stunningly beautiful, most awe-inspiring, most challenging, most treacherous, most terrifying, most intimidating, and overall the holy grail of any true mountaineer. Congratulations to you all, absolutely epic accomplishment, you guys are for real ğŸ§—ğŸ»ğŸ§—ğŸ¼â€â™‚ï¸.
Great story and production!"
Crichjo32,This is basically the most epic advertisement for a jacket I've ever seen.
Simon Ritchie,Awesome video!
Enes UluÃ§,07:24 Kesin fidayda oynuyorlar ğŸ‡¹ğŸ‡·
Delta Drones Iceland-Brazil From Above,Awesome!
Mink,Ive had nightmares about this mountain and falling or almost falling . I swear i was a high altitude climber in a past life
Pak Ngah,Awesome!
Ken W Anderson,CRAZY DANGEROUS!  (I wish the successful helpful Sherpas had been given more adulation.)
Kostantino Psilakis,Listening to the mountain how about listening to Common Sense
Princess of Nusa,"Woooww been thinking about doing this for years, but keep question myself if i can do that or not. Must be not easy climb !"
Computer Tricks Trilogy,Im gonna climb this thing oneday
Mark Guy,I have hypoxia and altitude sickness just watching these climbers. I couldn't imagine being able to do this kind of expedition.
RGB,When they almost get to the summit I just want some rad bro to fly by on a snowboard with a monster energy drink . SHEEERPPAAA BRAAA!!!!
zootsootful,"What's the highest summit ever conquered through a solo effort, without oxygen assistance? Anybody?..."
Summoner 9,I would have just ran from base camp to the summit. Guess i'm just built different idk...
New Jeffersonian,"In terms of climbing there are only two categories of mountains, all the mountains in the world and K2."
munim farooq,There was a moment somewhere midway through the doc when i felt you guys won't make it to the top. But seeing you guys make it at the end despite all the odds being against you really means something. Team chemistry was brilliant and the feel good spirit among all of you was there for all of us to see.
Robin Jackson,"Hows the fund? The adrenaline rush i have, it blows away every time i think about funds!"
Abdullah 's,How to start climbing should take it in sections Like first base camp 2
ALEXANDER LAWSON,Stunning place but I sure would'nt want to go any higher than base camp.
Rones Carlos,Show
seattle fishing,How many days do they wear the same socks?
DZA,Ø³Ø¨Ø­Ø§Ù† Ø§Ù„Ù„Ù‡ ØŒ Ø§Ù„Ø­Ù…Ø¯ Ù„Ù„Ù‡ ØŒ Ø§Ù„Ù„Ù‡ Ø£ÙƒØ¨Ø±
Sapien Manas07,this seems so ez to nepalese lol.
ALL iN ONE,My beautifull PAKISTAN ğŸ‡µğŸ‡°ğŸ‡µğŸ‡°ğŸ‡µğŸ‡°ğŸ‡µğŸ‡°
Joe Smith,"If you havenâ€™t noticed, climbers have the biggest smiles. Must be something to it."
Julie Gorham,"I'm am in complete AWE, and gratitude for you. Thank you for giving me courage to face the mountain."
Manjunath Ballur,This is a beautiful documentary on K2.
Simon Classe,"I clumb a montain of 1500m in Spain, that was so cool, I now plan to climb K2 in 6 months :D"
SilkyJohnson,10:47 Land Cruiser tires are absolutely bald.
Melanie Meyer,I would love to see a 3 or even 6 hour version of this magnificent documentary
denis langlois,amazing !!!!!!! Thank you so much
Joyvelle Enerlan,Fucking amazing!!!!!
Black Forest Travel,WunderschÃ¶ne Doku!
Roaclub Baciova,I sottotitoli please
Fun movies,mashallah Pakistan is so beautifulğŸ’–ğŸ’–ğŸ’–
Zaki Basra,Im pakistani but i havent visit k2 basecamp everğŸ˜ª
Î”Î¹Î¿Î½ÏÏƒÎ¹Î¿Ï‚,"To me it was interesting, thanks;)"
Re-Mecs,that was the longest advert ive ever seen ever
Amparo Schober,My dad swears this is how he got to school every morning
Edward McClung,"""$2 is too little. $10 or $15 to carry your pack for 6 to 7 days of hard hiking and climbing"""
Gabriele Deiana Music,"First team that reached this peak was italian with Laccedelli and Compagnoni, but the true K2 hero was Walter Bonatti. Find out the history of this 1954 expedition and what did Bonatti..He spent the night in the side of the mountain without protections and then saved the Sherpa that was with him.. a real superhuman!"
LuckyLicks,20:31 We really need to be healthy ... while eating Nutella
haider hassan,I'm Pakistani but I have never traveled to K2 side even not gailgate baldistan ğŸ˜”ğŸ˜”ğŸ˜”
Hodgey Hodge,RIP Ueli Steck :(
kevin floyd,amazing documentary. very inspiring. was trying to find that specific red jacket from  Carla Perez?? can someone help me find it . its not on the official website.
